channel_title,total_views,total_videos,avg_views
VG Magic,1920997,1,1920997.0
Akira Gaming,1872781,1,1872781.0
Bünyam,1851322,1,1851322.0
WildLifeEditz,1851287,1,1851287.0
Dattrax Gaming,1783279,4,445819.75
KATSEYE,1773753,1,1773753.0
ULTRAGEARyt,1772543,2,886271.5
MrLowlander,1769110,1,1769110.0
Kinkle,1748696,1,1748696.0
House of Highlights,1744848,1,1744848.0
Merow,1704878,1,1704878.0
PUBG BOX,1674495,2,837247.5
한설,1649851,1,1649851.0
LOVELY VR🥰,1648939,2,824469.5
Barış G,1640227,2,820113.5
BranOnline,1630158,1,1630158.0
HAUT_PARLEUR TV ,1623890,1,1623890.0
T Sports,1617300,1,1617300.0
Atrioc,1613850,1,1613850.0
Rayakuzaa,1613055,1,1613055.0
Game House Baixinho,1611131,1,1611131.0
주평,1605686,1,1605686.0
PUBG MOBILE,1585002,1,1585002.0
TEDI,1583713,2,791856.5
euehe,1574805,1,1574805.0
ROBERT PG,1487766,1,1487766.0
Nexa Playz,1467582,3,489194.0
Fahad Gaming,1445051,1,1445051.0
England,1423300,1,1423300.0
Wise Cat Gaming,1421204,1,1421204.0
Xafrel,1392251,1,1392251.0
ローレン・イロアス / Lauren Iroas【にじさんじ】,1391312,1,1391312.0
Syahristani Official,1373113,1,1373113.0
Rulas 47,1358305,1,1358305.0
REEZO GAMES,1351532,1,1351532.0
leoding,1336937,1,1336937.0
Cindy Chira,1332046,2,666023.0
ClipRush,1331923,1,1331923.0
zodEagle,1330132,1,1330132.0
Lazvell,1323175,1,1323175.0
SQ Magic,1301159,1,1301159.0
MPL Malaysia,1287449,1,1287449.0
Keja,1279792,1,1279792.0
Levinho,1248087,2,624043.5
WujuLeashMe,1225301,1,1225301.0
ボドカ / Riddle - ゲーム実況,1209692,1,1209692.0
Jeckord Gaming YT,1200812,2,600406.0
Rixkcy,1191415,1,1191415.0
HOYO-MiX - Topic,1168383,1,1168383.0
IND OX,1162865,1,1162865.0
Daily facts ,1151595,1,1151595.0
ぶい研究室,1151524,1,1151524.0
Pro Lineups Guide,1126279,1,1126279.0
Windah Basudara,1112609,1,1112609.0
BZTV,1068876,1,1068876.0
ROBB PUBG Mobile,1061503,1,1061503.0
O Victor Magalhães,1048857,1,1048857.0
Chandra Y,1007562,1,1007562.0
Balta Pubg Mobile,997640,1,997640.0
cutespiders,987665,1,987665.0
Perkovic,968465,1,968465.0
555- SG,960152,1,960152.0
САХАР,945790,1,945790.0
Ice Cream Sandwich,939297,1,939297.0
原神-Genshin-公式,923386,1,923386.0
JONBTC JUEGA,919665,4,229916.25
Stenly Wisal,902427,1,902427.0
Teets,892463,1,892463.0
kar98 Army,871982,1,871982.0
REAL TENKO,870112,1,870112.0
The Journey Studio,868863,1,868863.0
Nitret,864674,3,288224.6666666667
PLAY ON GAMING,860577,1,860577.0
knsplash,852346,1,852346.0
Muse Qm,841508,1,841508.0
Tiger is live ,830133,1,830133.0
Howliday,827990,1,827990.0
PUBG MOBILE Esports,818340,1,818340.0
SC Valorant Guides,800140,1,800140.0
AseKut,773246,1,773246.0
Xzret Gaming,756663,1,756663.0
Ajin Driving,750215,1,750215.0
AR12Gaming,744995,2,372497.5
Red Barrels,740375,5,148075.0
Xbox,734518,1,734518.0
Kanga,678871,1,678871.0
Pak sopir,668805,1,668805.0
zbfmmnn,630614,1,630614.0
Nofoqa Nonefo,621389,1,621389.0
AOA Review,607856,1,607856.0
Bus Simulator Mania TV,606836,1,606836.0
Boringness Breaker,589527,1,589527.0
Hellian VALORANT,588029,1,588029.0
TODO EN UNA REACCIÓN,586461,1,586461.0
紡木こかげ,585206,1,585206.0
AJ FAMILY 143,579865,1,579865.0
Manh tien ,544757,1,544757.0
LOS BARCINOS,543171,1,543171.0
dnckf Dan,538175,1,538175.0
Jankoos,529614,1,529614.0
PUBG: BATTLEGROUNDS VIETNAM,528822,1,528822.0
Carlosdesanttana,526637,1,526637.0
LUCREW,515221,2,257610.5
@EL_GOAT_DEL_MADRID,494044,1,494044.0
MR RAWAT GAMING,492629,1,492629.0
THE INDIAN GAMER,485257,1,485257.0
AstroKobi,470144,1,470144.0
AD players AK 47,467552,1,467552.0
LoLzZz Gaming,467460,1,467460.0
Cordiseps V2,458510,7,65501.42857142857
Vural Üzül,456250,1,456250.0
Asyari MH,449725,1,449725.0
eDroidGameplaysTV,448623,1,448623.0
EoOnG Gaming,439503,1,439503.0
hhhpo194,429762,1,429762.0
B7ck,397245,1,397245.0
Oli4NL,389401,1,389401.0
The Drive Right Reviews,383564,1,383564.0
Nhkopf,363877,1,363877.0
Ykgdxhj,362560,1,362560.0
RRaenee,350231,1,350231.0
DVS Squad,342233,1,342233.0
routebus gaming,339496,1,339496.0
GUZNO,332890,1,332890.0
A.R.B Gaming Official ,322330,1,322330.0
allDroid Gaming,318625,1,318625.0
Thiago Reis,313047,2,156523.5
Paluten,309551,1,309551.0
Bulkin,303195,1,303195.0
hung ly,302070,1,302070.0
IsAmU,293629,1,293629.0
RaviPlays,287929,1,287929.0
Bla Bla GamIng,277221,1,277221.0
BreezyByte,276928,1,276928.0
Harux,276727,1,276727.0
YoungKateBishop,265034,1,265034.0
GatoPan,239114,1,239114.0
Zayed Gaming,227778,1,227778.0
Стинт,214547,1,214547.0
MikeEmpires - Age of Empires II,205922,1,205922.0
 Dodo dva,195460,1,195460.0
Stumble Guys,186563,1,186563.0
IGN,181816,1,181816.0
Fab Rats,178457,1,178457.0
petangames,174608,1,174608.0
HEARTROCKER,160567,1,160567.0
SUV Detective,155903,2,77951.5
Age of Empires,150290,2,75145.0
M4illitary,147349,1,147349.0
REVIROTTO,144706,1,144706.0
FミralΦHunt,129919,1,129919.0
JWulen 2,116884,1,116884.0
Mario Ovalle,107350,1,107350.0
Nick AR,105062,1,105062.0
Bono Machan,96517,1,96517.0
NerdScience,88994,1,88994.0
Kardiner,88841,1,88841.0
KEOXER GAMING,85314,1,85314.0
Merpster2000 - Age of Empires 2,76542,1,76542.0
Menos Trece,72927,1,72927.0
MissParanoid,67995,1,67995.0
Conner (DEMO),66949,1,66949.0
mount gameplays,65215,1,65215.0
happyheart,65076,1,65076.0
VicentiN,64672,1,64672.0
Souzones,63204,1,63204.0
Atrioc VODs,62495,1,62495.0
Yellowish,61761,1,61761.0
twosixNC,60135,1,60135.0
Player 94,58636,1,58636.0
Nofoni,57615,1,57615.0
HFY Explorers,56502,1,56502.0
IA IA OH,55330,1,55330.0
PlayStation,51056,1,51056.0
Arcaveli,50713,1,50713.0
MAATT ⚜️,48676,1,48676.0
Gilada,47959,1,47959.0
You,47044,1,47044.0
QASSI,44552,1,44552.0
TheKAIRI78,44364,1,44364.0
MiniCali,43075,1,43075.0
